Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                   ,Exchange ,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size  ,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
TNTY  ,-22.02     ,0.00                 ,0.3899    ,117297    ,--       ,8.70M     ,7              ,-0.79                     ,46.00     ,0.44      ,0.06 ,-60.75      ,15.31                  ,28.90             ,26.62                  ,0.44                   ,Pharmaceuticals                            ,OTC      ,TRUE NATURE HOLDINGS INC ,Pharmaceuticals                           ,--      ,0.51          ,0.3643,2500    ,52466        ,48736       ,223.57                  ,240.68                 ,No        ,0.50  ,0.50  ,0.3899,0.28                  ,56002         ,60508      ,209.45                   ,193.85                ,No                ,Health Care               ,--            ,0.50      ,0.37  ,6100      ,60616       ,534.48                    ,193.51                 ,27.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-400.00K  ,--     ,-400.00K,17.22M            ,-0.22   ,-0.66     ,-7.56     ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.1101,-0.0801                ,+13.77                     ,+0.2639                ,+86.01                  ,0.00                 ,0.00                 ,-78.60               ,0.00      ,0.54         ,0.56     ,2.98                   ,0.24      ,0.08     ,84.69                   ,13.70                        ,-22.02  ,0.00   ,+0.2099                ,-0.19                 ,+0.08                  ,+111.74                  ,+164.88              ,+143.59              ,0.00              ,0               ,0.56      ,0.56    ,0.44        ,0.18    ,-0.29                ,0.1101         ,-0.1101  ,0.00  ,-0.004                  ,+0.0605                  ,+19.05                   ,+0.2312               ,-68.44               ,0.00                 ,+39.71               ,0.00              ,0.56       ,3.48      ,0.43     ,0.07   ,0.13         ,--               ,-0.0199       ,-0.10             ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.47      ,0.27      ,0.23       ,0.42      ,--         ,59.60                ,--        ,19.21                   ,39.25,0.57                ,0.23                      ,0.24           ,0.25      ,0.49       ,0.44      ,0.33      ,--         ,53.57     ,50.00                ,2.18          ,70.23,0.07       ,0.23           ,0.37                      ,0.44      ,0.23       ,0.31      ,59.55                ,20.07                   ,84.92   ,0.31                   ,0.09           ,0.33                      ,184.40    , 
VCPS  ,-19.85     ,0.00                 ,0.0105    ,1659500   ,--       ,--        ,4              ,-37.89                    ,32.26     ,0.02      ,--   ,-98.33      ,16.13                  ,-10.47            ,33.22                  ,0.02                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.0106,12000   ,58227        ,179715      ,2850.05                 ,923.41                 ,No        ,0.0131,0.0131,0.0185,--                    ,768323        ,584405     ,215.99                   ,283.96                ,No                ,--                        ,--            ,0.01      ,0.01  ,115000    ,748319      ,1455.51                   ,221.76                 ,--             ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,+0.0005,+0.0005                ,-46.02                     ,-0.7359                ,-72.81                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.07     ,1.1669                 ,--        ,0.01     ,83.87                   ,40.00                        ,+5.00   ,+0.0031,-0.1395                ,-0.48                 ,-0.0064                ,-98.66                   ,0.00                 ,0.00                 ,0.00              ,0               ,0.02      ,0.15    ,--          ,--      ,0.00                 ,0.0026         ,-0.0026  ,+31.00,-0.0061                 ,-0.0085                  ,-38.89                   ,-0.0268               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.06       ,1.18      ,0.01     ,--     ,0.0031       ,--               ,-0.0005       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.02      ,0.21      ,--         ,0.04      ,--         ,31.92                ,--        ,51.87                   ,1.67 ,0.04                ,-0.08                     ,-1.04          ,0.32      ,--         ,0.01      ,--        ,--         ,--        ,50.00                ,30.06         ,17.22,--         ,-0.75          ,-1.17                     ,0.02      ,0.63       ,--        ,50.00                ,27.89                   ,31.67   ,-0.01                  ,-0.06          ,-0.59                     ,-1004.94  , 
BTCS  ,-18.84     ,0.00                 ,0.0771    ,1195065   ,--       ,--        ,12             ,-41.78                    ,33.33     ,0.15      ,--   ,-94.10      ,11.92                  ,-41.57            ,47.83                  ,0.17                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.0771,30000   ,1388025      ,12972831    ,86.10                   ,9.21                   ,No        ,0.095 ,0.10  ,0.08  ,--                    ,806151        ,10001093   ,148.24                   ,11.95                 ,No                ,--                        ,--            ,0.08      ,0.074 ,37000     ,748117      ,20.20                     ,159.74                 ,130.00K        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.0029,-0.0929                ,-53.85                     ,+0.0493                ,+6.67                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.35     ,8.12                   ,0.06      ,0.04     ,88.08                   ,127.16                       ,-3.63   ,+0.015 ,+0.0771                ,-0.52                 ,-0.0918                ,+160.74                  ,0.00                 ,0.00                 ,0.00              ,1               ,0.19      ,0.43    ,--          ,0.06    ,-0.034               ,0.0229         ,-0.0179  ,+18.75,-0.0574                 ,-0.0934                  ,-53.44                   ,+0.005                ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.35       ,8.22      ,0.06     ,--     ,0.026        ,--               ,-0.0031       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.15      ,0.08      ,0.03       ,0.14      ,0.07       ,33.75                ,47.04     ,25.36                   ,5.90 ,0.27                ,-0.05                     ,--             ,0.07      ,0.02       ,0.18      ,0.10      ,0.06       ,45.22     ,47.25                ,4.10          ,10.32,0.02       ,-0.01          ,-0.01                     ,0.17      ,0.04       ,0.09      ,45.48                ,27.53                   ,15.32   ,0.07                   ,-0.05          ,-0.02                     ,-5384.41  , 
PRED  ,-18.06     ,-74.00               ,0.59      ,64521     ,--       ,380.00K   ,6              ,+19.21                    ,37.78     ,0.71      ,-0.15,-70.59      ,17.65                  ,-48.07            ,--                     ,0.76                   ,Biotechnology                              ,OTC      ,PREDICTIVE TECHNOLOGY GRO,Biotechnology                             ,--      ,0.72          ,0.57  ,4000    ,58699        ,12306       ,109.92                  ,524.31                 ,No        ,0.72  ,0.73  ,0.60  ,0.01                  ,41222         ,23911      ,156.52                   ,269.84                ,No                ,Health Care               ,--            ,0.72      ,0.56  ,2500      ,45100       ,80.46                     ,143.06                 ,35.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-30.00K   ,--     ,-30.00K ,523K              ,-6.94   ,-0.15     ,-0.08     ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.13  ,-0.26                  ,-5.14                      ,-0.4449                ,-37.60                  ,-78.78               ,+420.00              ,-12.62               ,-10.47    ,0.78         ,1.20     ,2.17                   ,0.44      ,0.46     ,82.35                   ,19.32                        ,-18.06  ,0.00   ,-0.94                  ,0.00                  ,-0.0845                ,-38.19                   ,-53.85               ,-42.93               ,-18.58            ,1               ,0.78      ,1.82    ,0.55        ,0.44    ,-0.10                ,0.14           ,-0.13    ,0.00  ,+0.116                  ,-0.039                   ,-10.51                   ,-0.4339               ,-77.24               ,-28.77               ,+71.43               ,-18.24            ,1.10       ,2.90      ,0.44     ,0.44   ,0.17         ,--               ,-0.03         ,--                ,--                   ,--                       ,17.12           ,--           ,--                   ,--       ,0.63      ,1.10      ,1.23       ,0.77      ,1.14       ,45.54                ,43.32     ,28.56                   ,29.41,1.04                ,-0.29                     ,-1.23          ,1.18      ,1.14       ,0.70      ,1.01      ,1.18       ,40.25     ,44.69                ,16.81         ,38.56,-0.16      ,-0.74          ,-1.03                     ,0.76      ,1.30       ,1.05      ,42.54                ,20.34                   ,29.41   ,0.47                   ,-0.42          ,-0.62                     ,-356.34   , 
AWX   ,-18.01     ,-51.86               ,2.23      ,64959     ,--       ,8.93M     ,22             ,+3.70                     ,28.38     ,2.78      ,-0.06,-100.00     ,--                     ,-8.36             ,15.12                  ,2.84                   ,Commercial Services & Supplies             ,NYSE AMEX,AVALON HOLDINGS CORP     ,Environmental & Facilities Services       ,--      ,2.80          ,2.23  ,100     ,62934        ,11648       ,103.22                  ,557.68                 ,No        ,2.72  ,2.8299,2.40  ,22.67                 ,27512         ,17534      ,236.11                   ,370.47                ,No                ,Industrials               ,--            ,2.80      ,2.23  ,1000      ,25506       ,120.89                    ,254.68                 ,175.00K        ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-410.00K  ,61.35M ,-410.00K,3.19M             ,-0.02   ,-0.02     ,-0.19     ,--          ,-0.28     ,0.11      ,-0.09     ,--                          ,-0.11     ,123.20            ,-0.57  ,-0.62                  ,-1.37                      ,-0.0514                ,-2.58                   ,-4.61                ,-37.30               ,+32.38               ,+0.79     ,2.90         ,3.37     ,0.5801                 ,2.58      ,1.76     ,100.00                  ,26.73                        ,-20.36  ,-0.08  ,-0.54                  ,-0.24                 ,-0.0777                ,-1.80                    ,-5.08                ,-9.44                ,-1.06             ,1               ,2.99      ,3.37    ,2.70        ,2.58    ,-0.47                ,0.5999         ,-0.49    ,-2.86 ,+0.10                   ,-0.039                   ,-2.70                    ,-0.0743               ,+52.84               ,-34.87               ,-10.32               ,-0.63             ,3.37       ,3.41      ,2.58     ,2.56   ,0.5999       ,10.00            ,0.00          ,-6.68             ,--                   ,--                       ,0.28            ,28.39        ,--                   ,0.15     ,2.79      ,2.87      ,2.83       ,2.80      ,2.82       ,46.46                ,44.18     ,31.47                   ,--   ,3.17                ,-0.14                     ,-0.43          ,2.86      ,2.74       ,2.83      ,2.84      ,2.80       ,40.34     ,49.63                ,27.63         ,24.44,-0.02      ,-0.77          ,0.01                      ,2.84      ,2.82       ,2.84      ,48.80                ,17.84                   ,25.36   ,2.51                   ,-0.70          ,-0.20                     ,-46.35    , 
PGNPQ ,-17.41     ,0.00                 ,0.0925    ,183922    ,--       ,9.79M     ,10             ,+13.99                    ,53.14     ,0.09      ,--   ,-59.38      ,10.96                  ,22.09             ,34.49                  ,0.08                   ,Energy Equipment & Services                ,OTC      ,PARAGON OFFSHORE PLC     ,Oil & Gas Drilling                        ,--      ,0.11          ,0.0901,10000   ,303583       ,836370      ,60.58                   ,21.99                  ,No        ,0.112 ,0.112 ,0.095 ,9.13                  ,389690        ,1084631    ,47.20                    ,16.96                 ,No                ,Energy                    ,--            ,0.11      ,0.0901,10000     ,759099      ,34.49                     ,24.23                  ,29.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-338.36M  ,591.85M,-338.36M,87.37M            ,-3.87   ,-3.87     ,-11.65    ,-1.79       ,-7.63     ,4.25      ,1.49      ,-48.00                      ,-57.17    ,628.29            ,-0.0175,+0.0225                ,+37.29                     ,-0.1874                ,-8.19                   ,-91.53               ,0.00                 ,-88.59               ,+0.09     ,0.11         ,0.16     ,1.148                  ,0.06      ,0.04     ,89.04                   ,-8.29                        ,-15.91  ,+0.002 ,-0.1275                ,+0.03                 ,+0.0327                ,-63.02                   ,-50.22               ,-62.56               ,+50.53            ,0               ,0.12      ,0.36    ,0.10        ,0.06    ,-0.0501              ,0.0195         ,-0.0195  ,+1.82 ,+0.0135                 ,+0.0299                  ,+42.35                   ,-0.0098               ,-65.43               ,0.00                 ,-87.83               ,-15.86            ,0.14       ,1.26      ,0.09     ,0.04   ,0.0219       ,--               ,-0.0024       ,--                ,--                   ,--                       ,--              ,-301.47      ,--                   ,0.02     ,0.09      ,0.11      ,0.25       ,0.09      ,--         ,67.73                ,--        ,14.56                   ,40.63,0.11                ,0.04                      ,-0.13          ,0.13      ,0.42       ,0.08      ,0.12      ,--         ,43.73     ,50.00                ,42.71         ,51.04,--         ,0.02           ,-0.10                     ,0.08      ,0.17       ,0.13      ,46.29                ,36.26                   ,47.57   ,0.05                   ,0.03           ,0.04                      ,1167.68   , 
VICA  ,-16.72     ,-40.50               ,0.249     ,290270    ,--       ,59.75M    ,7              ,+39.77                    ,57.87     ,0.20      ,-0.02,-42.63      ,49.49                  ,55.42             ,29.56                  ,0.18                   ,Health Care Equipment & Supplies           ,OTC      ,HCI VIOCARE              ,Health Care Equipment                     ,--      ,0.31          ,0.215 ,8000    ,140692       ,36902       ,206.32                  ,786.60                 ,No        ,0.299 ,0.299 ,0.249 ,--                    ,59149         ,91445      ,490.74                   ,317.43                ,No                ,Health Care               ,--            ,0.31      ,0.20  ,2500      ,70858       ,49.53                     ,409.65                 ,40.00K         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-9.44M    ,60.00K ,-9.44M  ,192.73M           ,-0.01   ,-0.06     ,-0.44     ,--          ,-0.05     ,--        ,--        ,--                          ,-15695.45 ,6.68              ,-0.061 ,+0.079                 ,+74.21                     ,-0.5144                ,+30.94                  ,-70.25               ,0.00                 ,-84.86               ,+106.33   ,0.33         ,0.33     ,1.701                  ,0.14      ,0.08     ,50.51                   ,-24.52                       ,-19.68  ,-0.011 ,-0.151                 ,+0.38                 ,+0.1386                ,-62.40                   ,-66.49               ,-89.76               ,+197.86           ,0               ,0.33      ,0.91    ,0.19        ,0.11    ,-0.12                ,0.05           ,-0.05    ,-3.55 ,+0.0882                 ,+0.1321                  ,+80.90                   ,+0.0733               ,-79.52               ,0.00                 ,-84.00               ,-331.60           ,0.33       ,2.00      ,0.15     ,0.08   ,0.099        ,--               ,-0.049        ,-1.38             ,--                   ,--                       ,--              ,-12.81       ,--                   ,993.75   ,0.20      ,0.31      ,0.81       ,0.21      ,--         ,73.55                ,--        ,22.61                   ,57.37,0.25                ,0.17                      ,-1.24          ,0.47      ,0.82       ,0.19      ,0.37      ,--         ,43.91     ,50.00                ,8.76          ,73.95,-0.05      ,0.02           ,-1.09                     ,0.18      ,0.76       ,0.43      ,45.79                ,26.96                   ,79.04   ,0.10                   ,0.09           ,-0.29                     ,770.47    , 
ELTZ  ,-16.67     ,0.00                 ,0.003     ,2410151   ,--       ,--        ,4              ,--                        ,--        ,--        ,--   ,-92.50      ,--                     ,36.77             ,--                     ,0.02                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.0032,500000  ,2634590      ,2129870     ,91.48                   ,113.16                 ,No        ,0.0036,0.0036,0.0037,--                    ,6178565       ,4322653    ,39.01                    ,55.76                 ,No                ,--                        ,--            ,--        ,0.003 ,7000000   ,6185123     ,32.60                     ,38.97                  ,--             ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,+0.003 ,+0.003                 ,-100.00                    ,-0.0233                ,--                      ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,--       ,1.2464                 ,--        ,--       ,100.00                  ,-93.33                       ,--      ,+0.0036,+0.003                 ,--                    ,0.00                   ,-100.00                  ,0.00                 ,0.00                 ,0.00              ,0               ,--        ,--      ,--          ,--      ,--                   ,0.0006         ,-0.0006  ,--    ,0.00                    ,-0.0217                  ,--                       ,0.00                  ,0.00                 ,0.00                 ,0.00                 ,0.00              ,--         ,1.25      ,--       ,--     ,0.0006       ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,--        ,--        ,0.01       ,--        ,--         ,50.00                ,--        ,46.13                   ,7.50 ,0.05                ,--                        ,-0.25          ,--        ,--         ,--        ,--        ,--         ,--        ,50.00                ,36.26         ,35.83,--         ,-0.03          ,--                        ,0.02      ,0.01       ,--        ,50.00                ,21.58                   ,45.28   ,-0.01                  ,--             ,--                        ,4534.01   , 
ENCR  ,-16.36     ,-96.58               ,0.92      ,2011      ,--       ,4.21M     ,3              ,-11.15                    ,19.56     ,1.48      ,-0.19,-100.00     ,--                     ,-59.07            ,25.75                  ,1.59                   ,Electrical Equipment                       ,OTC      ,ENER-CORE INC            ,Heavy Electrical Equipment                ,--      ,1.10          ,0.922 ,3300    ,2789         ,4257        ,72.10                   ,47.24                  ,No        ,1.10  ,1.14  ,1.00  ,23.20                 ,4354          ,4375       ,46.19                    ,45.97                 ,No                ,Industrials               ,--            ,1.10      ,0.92  ,4500      ,4257        ,64.21                     ,47.24                  ,3.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,-13.11M   ,--     ,-13.11M ,3.83M             ,-3.67   ,-5.45     ,-6.17     ,-1.50       ,-5.26     ,-0.31     ,--        ,--                          ,--        ,--                ,-0.18  ,-0.87                  ,-30.84                     ,-1.2642                ,-41.37                  ,-81.26               ,0.00                 ,-62.79               ,-1.10     ,1.30         ,2.10     ,3.85                   ,1.10      ,1.50     ,100.00                  ,73.48                        ,-16.36  ,0.00   ,-1.28                  ,-0.39                 ,-0.545                 ,-53.47                   ,-50.00               ,-36.51               ,+282.78           ,1               ,1.65      ,2.54    ,1.10        ,1.10    ,0.58                 ,0.22           ,-0.18    ,0.00  ,-0.138                  ,-0.4905                  ,-33.13                   ,-0.7761               ,-69.46               ,0.00                 ,-48.39               ,-202.49           ,2.10       ,4.99      ,1.10     ,1.10   ,0.22         ,--               ,0.00          ,-0.01             ,--                   ,--                       ,--              ,-0.29        ,--                   ,--       ,1.46      ,1.85      ,2.29       ,1.55      ,2.13       ,23.29                ,38.44     ,41.95                   ,--   ,2.13                ,-0.70                     ,-1.18          ,1.87      ,2.77       ,1.60      ,1.81      ,2.25       ,34.68     ,39.79                ,54.63         ,0.44 ,-0.12      ,-1.08          ,-1.15                     ,1.59      ,2.16       ,1.88      ,36.74                ,12.31                   ,1.40    ,1.05                   ,-0.78          ,-0.96                     ,-35.25    , 
INWP  ,-16.13     ,0.00                 ,0.26      ,7550      ,--       ,--        ,1              ,-2.78                     ,33.93     ,0.44      ,-0.11,-93.75      ,--                     ,-8.23             ,64.78                  ,0.50                   ,--                                         ,OTC      ,                         ,--                                        ,--      ,--            ,0.26  ,23100   ,18364        ,20539       ,41.11                   ,36.76                  ,No        ,0.31  ,0.31  ,0.40  ,--                    ,16421         ,19966      ,45.98                    ,37.81                 ,No                ,--                        ,--            ,0.35      ,0.26  ,6000      ,15464       ,45.17                     ,48.82                  ,6.00K          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,--                ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.09  ,-0.30                  ,-30.07                     ,-0.8742                ,-54.34                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,--           ,0.68     ,1.49                   ,0.24      ,0.32     ,100.00                  ,75.13                        ,-25.71  ,-0.04  ,-1.09                  ,+0.04                 ,-0.1668                ,-71.41                   ,0.00                 ,0.00                 ,0.00              ,0               ,0.54      ,1.35    ,--          ,0.24    ,0.06                 ,0.05           ,-0.05    ,-11.43,-0.01                   ,-0.1505                  ,-32.28                   ,-0.4166               ,0.00                 ,0.00                 ,0.00                 ,0.00              ,0.68       ,1.80      ,0.24     ,0.24   ,0.05         ,--               ,0.00          ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,0.42      ,0.72      ,1.16       ,0.48      ,--         ,38.67                ,--        ,43.40                   ,6.25 ,0.75                ,-0.18                     ,-1.19          ,0.82      ,--         ,0.46      ,--        ,--         ,--        ,50.00                ,68.83         ,27.08,-0.10      ,-0.79          ,-1.14                     ,0.50      ,1.10       ,--        ,50.00                ,8.01                    ,33.78   ,0.26                   ,-0.31          ,-0.82                     ,-10.46    , 
NAUH  ,-14.93     ,-13.93               ,2.45      ,22969     ,--       ,62.50M    ,6              ,-0.85                     ,39.83     ,2.58      ,0.06 ,-76.79      ,23.21                  ,-36.22            ,22.54                  ,2.60                   ,Diversified Consumer Services              ,NASDAQ   ,NATIONAL AMERN UNIV HLDG ,Education Services                        ,0.18    ,2.58          ,2.40  ,4400    ,10522        ,7900        ,218.30                  ,290.75                 ,No        ,2.88  ,2.88  ,2.45  ,13.46                 ,7266          ,5952       ,316.12                   ,385.90                ,No                ,Consumer Discretionary    ,7.00          ,2.58      ,2.32  ,4800      ,6840        ,114.38                    ,335.80                 ,26.00K         ,No                  ,NC ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,-5.30M    ,96.11M ,-5.30M  ,24.23M            ,-0.24   ,-0.22     ,0.27      ,--          ,0.14      ,0.21      ,0.19      ,22.50                       ,-5.56     ,75.68             ,-0.13  ,-0.16                  ,-0.58                      ,+0.4478                ,+9.87                   ,-7.57                ,-47.32               ,+37.65               ,+0.95     ,2.77         ,2.79     ,-0.13                  ,2.38      ,1.20     ,76.79                   ,5.69                         ,-5.04   ,+0.30  ,+0.49                  ,-0.10                 ,-0.0091                ,+21.00                   ,+32.31               ,+34.03               ,-13.82            ,0               ,2.79      ,2.79    ,2.51        ,2.38    ,-1.12                ,0.43           ,-0.43    ,+11.63,-0.022                  ,-0.015                   ,-0.35                    ,+0.2319               ,+86.14               ,-15.72               ,+18.44               ,-7.98             ,2.79       ,2.75      ,2.51     ,1.95   ,0.56         ,96.00            ,-0.13         ,-0.46             ,--                   ,--                       ,1.55            ,28.66        ,--                   ,0.65     ,2.59      ,2.38      ,2.14       ,2.56      ,2.27       ,50.66                ,53.72     ,25.75                   ,23.21,2.73                ,0.04                      ,0.35           ,2.32      ,2.10       ,2.59      ,2.41      ,2.24       ,52.38     ,56.76                ,32.77         ,47.58,0.08       ,0.28           ,0.58                      ,2.60      ,2.17       ,2.38      ,57.22                ,13.04                   ,60.64   ,2.46                   ,-0.03          ,0.47                      ,-47.42    , 
RKDA  ,-14.68     ,0.00                 ,0.6808    ,23541     ,--       ,35.51M    ,12             ,-1.27                     ,26.83     ,0.83      ,-0.05,-99.70      ,--                     ,9.58              ,20.71                  ,0.87                   ,Food Products                              ,NASDAQ   ,ARCADIA BIOSCIENCES INC  ,Agricultural Products                     ,--      ,0.80          ,0.6403,900     ,28844        ,52627       ,81.61                   ,44.73                  ,No        ,0.7979,0.7979,0.69  ,63.91                 ,78614         ,81390      ,29.95                    ,28.92                 ,No                ,Consumer Staples          ,--            ,0.79      ,0.6808,600       ,85719       ,54.43                     ,27.46                  ,23.00K         ,No                  ,NC ,--       ,--                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,-19.62M   ,3.19M  ,-19.62M ,44.51M            ,-0.44   ,-0.44     ,-0.73     ,-0.30       ,-10.71    ,-6.43     ,-6.05     ,--                          ,-615.56   ,55.93             ,-0.1092,-0.2192                ,-8.73                      ,-0.4986                ,-14.73                  ,0.00                 ,0.00                 ,-38.52               ,0.00      ,0.87         ,1.12     ,2.3821                 ,0.68      ,0.82     ,100.00                  ,22.80                        ,-13.82  ,+0.0079,-0.2392                ,-0.18                 ,-0.0973                ,-38.69                   ,-13.27               ,-17.85               ,-62.87            ,0               ,0.88      ,1.18    ,0.73        ,0.68    ,0.1392               ,0.1171         ,-0.1171  ,+1.00 ,-0.0102                 ,-0.0755                  ,-10.96                   ,-0.1365               ,-70.81               ,0.00                 ,-57.22               ,-30.00            ,1.12       ,3.18      ,0.73     ,0.68   ,0.1171       ,--               ,0.00          ,-0.08             ,--                   ,--                       ,1.60            ,113.19       ,--                   ,11.14    ,0.81      ,0.92      ,1.20       ,0.85      ,1.13       ,36.90                ,38.50     ,23.87                   ,0.30 ,1.01                ,-0.16                     ,-0.42          ,0.93      ,1.61       ,0.84      ,0.94      ,--         ,36.35     ,40.77                ,42.93         ,24.83,-0.04      ,-0.29          ,-0.27                     ,0.87      ,1.07       ,0.97      ,40.39                ,9.53                    ,40.69   ,0.72                   ,-0.29          ,-0.15                     ,65.19     , 
